KIND;OPR;STAT;AREA;CITY ;CB  ;LAC; CID ; GSM ; DCS;3G L; 3G C;  3G S   ;U-L; U900 ;U-S ;  DATE  ; ADDR                ; REM                               ;  OZIN     ;  OZIE  ;LOCK

/;Гродно

$;4;R  ;GRO; Ошмяны              ;;;;;; 235 ; 404878 ; 123; 235 ;404878;56789:10;24.05.18 ; Советская, 13         ; общежитие колледжа, мачта МТС                        ; 54.429923; 25.955115;G
$;4;R  ;GRO; Ошмяны             ;v;;;;; 235 ; 404878 ;:51:52:53;;      ;        ;24.01.20 ; Советская, 13         ; общежитие колледжа, мачта МТС                        ; 54.429923; 25.955115;G
$;4;R  ;GRO; Боярки                  ;; 237 ; 404884 ;:21      ;;;;  ;;;        ;26.01.24 ; Лидский р-н           ; ферма, опорная мачта МТС                             ; 53.625682; 25.109829;G
$;4;R  ;GRO; Щучин               ;;;;;; 231 ; 404885 ; 123; 231 ;404885;56789:10;09.02.18 ; Тимирязева, 3         ; гроднооблтопливо, опорная мачта МТС                  ; 53.594097; 24.746822;G
$;4;R  ;GRO; Щучин              ;v;;;;; 231 ; 404885 ;:51:52:53;;      ;        ;20.03.20 ; Тимирязева, 3         ; гроднооблтопливо, опорная мачта МТС                  ; 53.594097; 24.746822;G
$;4;R  ;GRO; Еремеевичи              ;; 237 ; 404889 ;:21:22:23;;;;  ;;;        ;18.02.24 ; Лидский р-н           ; совм.башня 70м                                       ; 53.752453; 25.210238;G
$;4;R  ;GRO; Лида                ;;;;;; 237 ; 404890 ; 123; 237 ;404890;56789:10;19.08.18 ; Красноармейская, 106  ; автостоянка, опорная мачта МТС                       ; 53.892902; 25.256388;G
$;4;R  ;GRO; Лида               ;v;;;;; 237 ; 404890 ;:51:52:53;;      ;        ;11.01.20 ; Красноармейская, 106  ; автостоянка, опорная мачта МТС                       ; 53.892902; 25.256388;G
$;4;R  ;GRO; Жиличи                  ;; 231 ; 405301 ;:21:22:23;;;;  ;;;        ;18.02.24 ; Гродненский р-н       ; опорная мачта МТС                                    ; 53.627970; 23.980598;G
$;4;R  ;GRO; Лойки                   ;; 238 ; 405303 ;:21:22:23;;;;  ;;;        ;18.02.24 ; Гродненский р-н       ; опорная мачта МТС                                    ; 53.773675; 23.747355;G
$;4;R  ;GRO; Лида                ;;;;;; 237 ; 405342 ; 123; 237 ;405342;56789:10;24.02.17 ; Кооперативная, 16     ; мини Евроопт, мачта МТС                              ; 53.900075; 25.255835;G
$;4;R  ;GRO; Лида               ;v;;;;; 237 ; 405342 ;:51:52:53;;      ;        ;11.01.20 ; Кооперативная, 16     ; мини Евроопт, мачта МТС                              ; 53.900075; 25.255835;G
$;4;D  ;GRO; Островец            ;;;;;; 235 ; 405334 ; 123; 235 ;405334;56789:10;18.03.18 ; пер.Октябрьский, 11   ; ЦРБ, мачта МТС (дем.сентябрь 2023)                   ; 54.610463; 25.967311;G
$;4;D  ;GRO; Островец           ;v;;;;; 235 ; 405334 ;:51:52:53;;      ;        ;31.07.22 ; пер.Октябрьский, 11   ; ЦРБ, мачта МТС (дем.сентябрь 2023)                   ; 54.610463; 25.967311;G
$;4;R  ;GRO; Лида                ;;;;;; 237 ; 405351 ; 123; 237 ;405351;56789:10;26.10.17 ; Сосновая, 3           ; ОАО "Стройвектор" опорная мачта МТС                  ; 53.936621; 25.270190;G
$;4;R  ;GRO; Лида               ;v;;;;; 237 ; 405351 ;:51:52:53;;      ;        ;01.03.20 ; Сосновая, 3           ; ОАО "Стройвектор" опорная мачта МТС                  ; 53.936621; 25.270190;G
$;4;R  ;GRO; Слоним              ;;;;;; 232 ; 405353 ;  123; 232;405353;  7  :10;01.03.20 ; Ромашковая            ; опорная мачта МТС                                    ; 53.059398; 25.330757;G 
$;4;R  ;GRO; Слоним             ;v;;;;; 232 ; 405353 ;:51:52:53;;      ;        ;15.10.20 ; Ромашковая            ; опорная мачта МТС                                    ; 53.059398; 25.330757;G 
$;4;R  ;GRO; Волковыск           ;;;;;; 232 ; 405496 ; 1 3; 232 ;405496;  7     ;26.01.19 ; С.Панковой            ; мкр-н Ольшимово                                      ; 53.171130; 24.433940;*
$;4;R  ;GRO; Волковыск          ;v;;;;; 232 ; 405496 ;:51   :53;;      ;        ;01.02.20 ; С.Панковой            ; мкр-н Ольшимово                                      ; 53.171130; 24.433940;*
$;4;R  ;GRO; Слоним              ;;;;;; 232 ; 405736 ; 123; 232 ;405736; 56   9 ;02.08.17 ; Брестская, 103/5      ; магазин "Пралеска", мачта МТС                        ; 53.080890; 25.295780;G 
$;4;R  ;GRO; Слоним             ;v;;;;; 232 ; 405736 ;:51:52:53;;      ;        ;30.12.23 ; Брестская, 103/5      ; магазин "Пралеска", мачта МТС                        ; 53.080890; 25.295780;G
$;4;R  ;GRO; Слоним              ;;;;;; 232 ; 405821 ; 123;     ;      ;        ;29.06.18 ; Минский тракт, 4      ; оптовая база УП "Бакалея", мачта МТС                 ; 53.093170; 25.350760;G 
$;4;R  ;GRO; Слоним             ;v;;;;; 232 ; 405821 ;:51:52:53;;      ;        ;01.02.20 ; Минский тракт, 4      ; оптовая база УП "Бакалея", мачта МТС                 ; 53.093170; 25.350760;G 
$;4;R  ;GRO; Новогрудок          ;;;;;; 236 ; 405825 ; 123;     ;      ;        ;21.09.18 ; Минская,  66          ; ПТУ-193, мачта МТС                                   ; 53.598247; 25.840567;G
