KIND;OPR;STAT;AREA;CITY          ; CB           ;LAC ; CID  ;GSM ;DCS ;3G L ; 3G C ;  3G S   ;U-L; U900 ;U-S ; DATE    ; ADDR                  ; REM                                                  ;  OZIN    ;  OZIE    ;LOCK
$;M;R  ;MIO; Лашаны              ;              ;   ;  396 ;    ;    ; 216 ;  868 ; 345     ;216; 4625 ;2   ;23.07.21; Менскі р-н            ; Р28, вежа 70м                                       ; 54.050082; 27.297384;G
$;M;R  ;MIO; Уша                 ; USHA         ;216;  397 ;123 ;456 ; 216 ; 1968 ;123456789;216; 6361 ;8   ;13.04.08; Маладзечанскі р-н     ; Р28, вежа 70м                                       ; 54.096538; 27.101975;G
$;M;R  ;MIO; Уша                 ;              ;   ;  397 ;    ;    ; 216 ; 2972 ;1234     ;216; 6362 ;0   ;13.04.08; Маладзечанскі р-н     ; Р28, вежа 70м                                       ; 54.096538; 27.101975;G
$;M;R  ;MIO; Уша                 ;              ;   ;  397 ;    ;    ; 216 ; 2680 ;1        ;216; 1259 ;3   ;13.04.08; Маладзечанскі р-н     ; Р28, вежа 70м                                       ; 54.096538; 27.101975;G
$;M;R  ;MIO; Лісіцы              ; LISITSY      ;216;  398 ;123 ;    ; 216 ; 1970 ;1234567 9;216; 6422 ;35  ;19.12.06; Менскі р-н            ; Р28, вежа 70м                                       ; 54.104040; 27.269680;G
$;M;R  ;MIO; Лісіцы              ;              ;   ;  398 ;    ;    ; 216 ; 2680 ;4 6      ;216; 1259 ;4   ;19.12.06; Менскі р-н            ; Р28, вежа 70м                                       ; 54.104040; 27.269680;G
$;M;R  ;MIO; Швакшты             ; SHVAKSHTY    ;202;  399 ;123 ;    ;     ;      ;         ;202; 6361 ;567 ;03.01.07; Мядзелскі р-н         ; вежа 70м                                            ; 54.962094; 26.641276;G
$;M;R  ;MIO; Крывічы             ; KRIVICHI     ;202;  400 ;123 ;456 ; 202 ; 1973 ;1 34 6   ;202; 6361 ;24  ;22.06.08; Мядзелскі р-н         ; крама "Прамтавары", мачта                          ; 54.712760; 27.290540;G
$;M;R  ;MIO; Матарова            ; MOTOROVO     ;174;  401 ;1237;4568; 174 ; 2618 ;123456789;174; 6360 ;9   ;13.09.05; Пухавіцкі р-н         ; М5, вежа 70м                                        ; 53.738450; 27.848790;G
$;M;R  ;MIO; Матарова            ;              ;   ;  401 ;    ;    ; 174 ; 2681 ;9        ;   ;      ;    ;30.07.20; Пухавіцкі р-н         ; М5, вежа 70м                                        ; 53.738450; 27.848790;G
$;M;R  ;MIO; Матарова            ;              ;   ;  401 ;    ;    ; 174 ; 2683 ; 12      ;   ;      ;    ;07.06.20; Пухавіцкі р-н         ; М5, вежа 70м                                        ; 53.738450; 27.848790;G
$;M;R  ;MIO; Матарова            ;              ;   ;  401 ;    ;    ; 174 ; 2620 ;1  4  7  ;174; 1259 ;56  ;10.03.16; Пухавіцкі р-н         ; М5, вежа 70м                                        ; 53.738450; 27.848790;G
$;M;R  ;MIO; Матарова            ;              ;   ;  401 ;    ;    ; 174 ; 1927 ;   4     ;174; 5049 ;5   ;15.03.18; Пухавіцкі р-н         ; М5, вежа 70м                                        ; 53.738450; 27.848790;G
$;M;R  ;MIO; Рудзенск            ; RUDENSK      ;174;  402 ;123 ;456 ; 174 ; 1977 ;123456789;174; 6360 ;8   ;06.06.05; Пухавіцкі р-н         ; Рудзенская 2Б, ААТ "Рудзенск", мачта                   ; 53.595220; 27.869320;G
$;M;R  ;MIO; Рудзенск            ;              ;   ;  402 ;    ;    ; 174 ; 1927 ;6        ;174; 1259 ;78  ;06.06.05; Пухавіцкі р-н         ; Рудзенская 2Б, ААТ "Рудзенск", мачта                   ; 53.595220; 27.869320;G
$;M;R  ;MIO; Рудзенск            ;              ;   ;  402 ;    ;    ; 174 ; 2683 ;56       ;   ;      ;    ;04.09.19; Пухавіцкі р-н         ; Рудзенская 2Б, ААТ "Рудзенск", мачта                   ; 53.595220; 27.869320;G
$;M;R  ;MIO; Рудзенск            ;              ;   ;  402 ;    ;    ; 174 ; 4724 ;9        ;   ;      ;    ;02.08.22; Пухавіцкі р-н         ; Рудзенская 2Б, ААТ "Рудзенск", мачта                   ; 53.595220; 27.869320;G
