KIND;OPR;STAT;AREA;CITY          ; CB          ; LAC ; CID ;GSM ;DCS ;3G L ; 3G C ;  3G S   ;U-L; U900 ;U-S ;  DATE   ; ADDR                  ; REM                                                  ;  OZIN     ;  OZIE  ;LOCK
$;V;R  ;MIO; Мар'іна Горка       ;MAR'INA GORKA; 111 ;  63 ;123 ;456 ; 111 ; 3572 ;123456789;111; 5063 ;123 ;07.02.07; Пухавіцкі р-н        ; Новы Світанак 49А, кацельня ЖКГ №2, труба            ; 53.500214; 28.165344;G
$;V;R  ;MIO; Мар'іна Горка       ;             ;     ;  63 ;    ;    ; 111 ; 6536 ;123      ;   ;      ;    ;14.07.19; Пухавіцкі р-н        ; Новы Світанак 49А, кацельня ЖКГ №2, труба            ; 53.500214; 28.165344;G
$;V;R  ;MIO; Заслаўль            ; ZASLAVL'    ; 116 ;  65 ;123 ;    ; 116 ; 3591 ;123456789;116; 5065 ;123 ;19.08.08; Путейко 10           ; кардон-паліграф.камбінат, мачта                      ; 54.005401; 27.281590;G
$;V;R  ;MIO; Заслаўль            ;             ;     ;  65 ;    ;    ; 116 ; 4591 ;123      ;116; 5065 ;456 ;25.05.19; Путейко 10           ; кардон-паліграф.камбінат, мачта                      ; 54.005401; 27.281590;G
$;V;R  ;MIO; Ратамка             ; YUNOST'     ; 116 ;  66 ;123 ;    ; 116 ; 3670 ;123456789;116; 5066 ;123 ;01.07.15; Менскі р-н           ; ММЦ "Юнацтва", корпус "Марскі", трубастойкі          ; 53.976367; 27.339988;G
$;V;R  ;MIO; Ратамка             ;             ;     ;  66 ;    ;    ; 116 ; 4670 ;1 3      ;   ;      ;    ;08.12.19; Менскі р-н           ; ММЦ "Юнацтва", корпус "Марскі", трубастойкі          ; 53.976367; 27.339988;G
$;V;R  ;MIO; Астрашыцкі Гарадок;OSTROSHICKIJ GORODOK;116;67;123 ;4 6 ; 116 ; 3580 ;123456789;116; 5067 ;123 ;01.07.15; Менскі р-н           ; Ленінская 86, мэблевая ф-ка "Ўзыход", мачта          ; 54.0601  ; 27.6983  ;G
$;V;R  ;MIO; Астрашыцкі Гарадок  ;             ;     ;  67 ;    ;    ; 116 ; 4580 ;123      ;116; 5067 ;45  ;23.05.19; Менскі р-н           ; Ленінская 86, мэблевая ф-ка "Ўзыход", мачта          ; 54.0601  ; 27.6983  ;G
$;V;R  ;MIO; Бальшавік           ; BOL'SHEVIK  ; 102 ;  69 ;123 ; 5  ; 102 ; 2563 ;123456789;102; 5069 ;123 ;06.07.08; Менскі р-н           ; цэх ПА па птушкагадоўлі                              ; 53.9935  ; 27.5472  ;G
$;V;R  ;MIO; Бальшавік           ;             ;     ;  69 ;    ;    ; 102 ; 4563 ;123      ;102; 5069 ; 56 ;10.06.19; Менскі р-н           ; цэх ПА па птушкагадоўлі                              ; 53.9935  ; 27.5472  ;G
